['Mercedes-Benz', 'A-Class', 'A250', 379995, 2016, 14980]
['Mercedes-Benz', 'A-Class', 'A220CDI', 379995, 2015, 72000]
['Mercedes-Benz', 'A-Class', 'A250', 379995, 2014, 67000]
['Mercedes-Benz', 'A-Class', 'A200', 379950, -1, -1]
['Mercedes-Benz', 'A-Class', 'A200d', 379950, 2015, 67000]
['Mercedes-Benz', 'A-Class', 'A250', 379900, 2016, 82848]
['Mercedes-Benz', 'A-Class', 'A200d', 379900, 2016, 29000]
['Mercedes-Benz', 'A-Class', 'A220d', 379900, 2014, 51865]
['Mercedes-Benz', 'A-Class', 'A200', 379900, 2016, 19738]
['Mercedes-Benz', 'A-Class', 'A200', 374900, 2016, 41632]
['Mercedes-Benz', 'A-Class', 'A200', 369995, 2016, 15532]
['Mercedes-Benz', 'A-Class', 'A200', 369990, 2015, 47000]
['Mercedes-Benz', 'A-Class', 'A200CDI', 369950, 2016, 31700]
['Mercedes-Benz', 'A-Class', 'A220d', 369900, 2015, 56000]
['Mercedes-Benz', 'A-Class', 'A180CDI', 369900, 2015, 57500]
['Mercedes-Benz', 'A-Class', 'A200CDI', 369900, 2015, 39000]
['Mercedes-Benz', 'A-Class', 'A250', 369900, -1, -1]
['Mercedes-Benz', 'A-Class', 'A200CDI', 369900, 2014, 73948]
['Mercedes-Benz', 'A-Class', 'A200', 369800, 2015, 25000]
['Mercedes-Benz', 'A-Class', 'A250', 369000, 2014, 71400]
['Mercedes-Benz', 'A-Class', 'A200CDI', 369000, -1, -1]
['Mercedes-Benz', 'A-Class', 'A220CDI', 367889, 2016, 25000]
['Mercedes-Benz', 'A-Class', 'A250', 364900, 2015, 52500]
['Mercedes-Benz', 'A-Class', 'A250', 364900, 2015, 77000]
['Mercedes-Benz', 'A-Class', 'A180', 363000, 2014, 79000]
['Mercedes-Benz', 'A-Class', 'A250', 359995, -1, -1]
['Mercedes-Benz', 'A-Class', 'A250', 359995, 2014, 76000]
['Mercedes-Benz', 'A-Class', 'A220CDI', 359950, 2014, 49000]
['Mercedes-Benz', 'A-Class', 'A250', 359950, 2015, 49000]
['Mercedes-Benz', 'A-Class', 'A220d', 359900, 2013, 62000]
['Mercedes-Benz', 'A-Class', 'A220CDI', 359900, 2013, 44900]
['Mercedes-Benz', 'A-Class', 'A250', 359900, 2015, 52000]
['Mercedes-Benz', 'A-Class', 'A200', 359000, 2013, 59000]
['Mercedes-Benz', 'A-Class', 'A220d', 469900, 2017, 7700]
['Mercedes-Benz', 'A-Class', 'A180', 109990, -1, -1]
['Mercedes-Benz', 'A-Class', 'A170', 109900, 2010, 150000]
['Mercedes-Benz', 'A-Class', 'A170', 109900, 2008, 143618]
['Mercedes-Benz', 'A-Class', 'A180CDI', 109900, 2008, 72000]
['Mercedes-Benz', 'A-Class', 'A180CDI', 109000, 2009, 182000]
['Mercedes-Benz', 'A-Class', 'A180', 108000, 2012, 120115]
['Mercedes-Benz', 'A-Class', 'A180CDI', 104900, 2010, 142000]
['Mercedes-Benz', 'A-Class', 'A200', 100000, 2008, 108000]
['Mercedes-Benz', 'A-Class', 'A170', 99995, 2010, 167000]
['Mercedes-Benz', 'A-Class', 'A170', 99995, 2008, 160861]
['Mercedes-Benz', 'A-Class', 'A180CDI', 99900, 2008, 155238]
['Mercedes-Benz', 'A-Class', 'A200', 99900, 2008, 240000]
['Mercedes-Benz', 'A-Class', 'A170', 99900, 2006, 142000]
['Mercedes-Benz', 'A-Class', 'A170', 99500, 2006, 97000]
['Mercedes-Benz', 'A-Class', 'A180', 99000, 2008, 120000]
['Mercedes-Benz', 'A-Class', 'A200', 95777, 2008, 99950]
['Mercedes-Benz', 'A-Class', 'A200', 95000, -1, -1]
['Mercedes-Benz', 'A-Class', 'A170', 89990, -1, -1]
['Mercedes-Benz', 'A-Class', 'A200', 89990, 2007, 140000]
['Mercedes-Benz', 'A-Class', 'A170', 89950, -1, -1]
['Mercedes-Benz', 'A-Class', 'A160L', 89950, -1, -1]
['Mercedes-Benz', 'A-Class', 'A180CDI', 89900, -1, -1]
['Mercedes-Benz', 'A-Class', 'A200', 89000, -1, -1]
['Mercedes-Benz', 'A-Class', 'A180CDI', 87900, 2006, 97000]
['Mercedes-Benz', 'A-Class', 'A170', 85995, 2009, 195000]
['Mercedes-Benz', 'A-Class', 'A170', 84900, 2008, 125414]
['Mercedes-Benz', 'A-Class', 'A170', 84890, -1, -1]
['Mercedes-Benz', 'A-Class', 'A170', 84890, 2006, 145000]
['Mercedes-Benz', 'A-Class', 'A180CDI', 79990, 2007, 157000]
['Mercedes-Benz', 'A-Class', 'A180CDI', 79990, -1, -1]
['Mercedes-Benz', 'A-Class', 'A180CDI', 79950, 2006, 280000]
['Mercedes-Benz', 'A-Class', 'A170', 79900, -1, -1]
['Mercedes-Benz', 'A-Class', 'A170', 79800, 2006, 186650]
['Mercedes-Benz', 'A-Class', 'A170', 79777, 2005, 160000]
['Mercedes-Benz', 'A-Class', 'A180CDI', 69900, -1, -1]
['Mercedes-Benz', 'A-Class', 'A170', 69900, -1, -1]
['Mercedes-Benz', 'A-Class', 'A190', 69450, 2005, 204590]
['Mercedes-Benz', 'A-Class', 'A180CDI', 67000, -1, -1]
['Mercedes-Benz', 'A-Class', 'A170', 59900, -1, -1]
['Mercedes-Benz', 'A-Class', 'A180CDI', 59900, 2006, 202000]
['Mercedes-Benz', 'A-Class', 'A180CDI', 52500, 2006, 189547]
['Mercedes-Benz', 'A-Class', 'A160', 49999, 2005, 170645]
['Mercedes-Benz', 'A-Class', 'A160', 49950, -1, -1]
['Mercedes-Benz', 'A-Class', '', 48000, 2003, 237600]
['Mercedes-Benz', 'A-Class', 'A160L', 45000, 2003, 198000]
['Mercedes-Benz', 'A-Class', 'A160', 45000, 2002, 237800]
['Mercedes-Benz', 'A-Class', 'A200d', 562400, 2002, 190000]
['Mercedes-Benz', 'A-Class', 'A180CDI', 125000, 2012, 117820]
['Mercedes-Benz', 'A-Class', 'A170', 99995, 2008, 160861]
['Mercedes-Benz', 'A-Class', '', 430000, 2016, 23500]
['Mercedes-Benz', 'A-Class', 'A200d', 434999, 2016, 43000]
['Mercedes-Benz', 'A-Class', 'A200CDI', 369950, 2015, 57500]
['Mercedes-Benz', 'A-Class', 'A170', 119999, 2008, 134000]
['Mercedes-Benz', 'A-Class', 'A200', 309900, 2014, 58000]
['Mercedes-Benz', 'A-Class', 'A220CDI', 299000, 2014, 49500]
['Mercedes-Benz', 'A-Class', 'A180', 249500, 2013, 87000]
['Mercedes-Benz', 'A-Class', 'A200', 279900, 2014, 127000]
['Mercedes-Benz', 'A-Class', '', 48000, 2003, 198000]
['Mercedes-Benz', 'C-Class', 'C180', 179900, 2010, 146500]
['Mercedes-Benz', 'C-Class', 'C63', 1599995, 2012, 57000]
['Mercedes-Benz', 'C-Class', 'C63', 1399950, -1, -1]
['Mercedes-Benz', 'C-Class', 'C63', 1399900, 2012, 55275]
